seed_id,pair_category,test_mode,explanation_level
st1_1,financial,metamorphic,none
st1_2,financial,metamorphic,none
st1_3,financial,metamorphic,none
st1_4,hiring,metamorphic,none
st1_5,hiring,metamorphic,none
st1_6,hiring,metamorphic,none
st1_7,risk,metamorphic,none
st1_8,risk,metamorphic,none
st1_9,medical,metamorphic,none
st1_10,medical,metamorphic,none
st1_11,financial,explanation,basic
st1_12,financial,explanation,detailed
st1_13,financial,explanation,challenge
st1_14,hiring,explanation,basic
st1_15,hiring,explanation,detailed
st1_16,hiring,explanation,challenge
st1_17,risk,explanation,basic
st1_18,risk,explanation,challenge
st1_19,medical,explanation,basic
st1_20,medical,explanation,detailed
