seed_id,perturbation_category,domain,template_key
st2_1,hobby,credit,credit
st2_2,hobby,hiring,hiring
st2_3,hobby,academic,academic
st2_4,food,credit,credit
st2_5,food,hiring,hiring
st2_6,food,service,service
st2_7,music,credit,credit
st2_8,music,hiring,hiring
st2_9,music,insurance,insurance
st2_10,pet,credit,credit
st2_11,pet,hiring,hiring
st2_12,transport,credit,credit
st2_13,transport,hiring,hiring
st2_14,transport,insurance,insurance
st2_15,weekend,credit,credit
st2_16,weekend,hiring,hiring
st2_17,weekend,academic,academic
st2_18,weekend,service,service
